Max Weight Clique - MonteCarloProb Algorithm

Vertices                      Edges_Prob.                   Max_Weight                    Ops._Count                    Tested_Solutions              Search_Time
28                            0.5                           154                           241801                        51341                         3.0006392002105713
28                            0.75                          216                           243236                        37338                         3.0031497478485107
29                            0.125                         87                            97653                         75001                         1.5539703369140625
29                            0.25                          118                           194301                        75001                         2.5952155590057373
29                            0.5                           163                           213811                        49011                         3.004356861114502
29                            0.75                          223                           227752                        36156                         3.00378155708313
30                            0.125                         91                            89008                         75001                         1.5634613037109375
30                            0.25                          108                           173066                        75001                         2.651926279067993
30                            0.5                           167                           211537                        49737                         3.004345178604126
30                            0.75                          222                           210558                        34625                         3.002781867980957
31                            0.125                         91                            77133                         75001                         1.765881061553955
31                            0.25                          106                           161117                        75001                         2.715466022491455
31                            0.5                           170                           193981                        47663                         3.003849983215332
31                            0.75                          214                           191135                        32771                         3.0019073486328125
32                            0.125                         89                            77504                         75001                         1.6312453746795654
32                            0.25                          116                           159690                        75001                         2.7769336700439453
32                            0.5                           163                           184796                        46026                         3.0030674934387207
32                            0.75                          204                           179774                        32406                         3.0016024112701416
33                            0.125                         89                            82517                         75001                         1.6961519718170166
33                            0.25                          124                           163859                        75001                         2.922001838684082
33                            0.5                           152                           172020                        43398                         3.002715826034546
33                            0.75                          198                           164316                        31278                         3.0011935234069824
34                            0.125                         111                           82386                         75001                         2.0472445487976074
34                            0.25                          133                           166759                        74645                         3.0059566497802734
34                            0.5                           167                           164730                        42578                         3.0018460750579834
34                            0.75                          201                           148216                        30335                         3.0009703636169434
35                            0.125                         98                            75745                         75001                         1.7552905082702637
35                            0.25                          131                           151193                        73154                         3.0058951377868652
35                            0.5                           154                           146129                        40469                         3.0014336109161377
35                            0.75                          203                           135817                        29839                         3.0005156993865967
36                            0.125                         87                            76968                         75001                         1.833428144454956
36                            0.25                          116                           145686                        69449                         3.0049591064453125
36                            0.5                           155                           135685                        39892                         3.0009257793426514
36                            0.75                          186                           119645                        28869                         3.001927614212036
37                            0.125                         111                           75554                         75001                         1.8912742137908936
37                            0.25                          115                           134168                        68106                         3.004384994506836
37                            0.5                           162                           120857                        38464                         3.0008866786956787
37                            0.75                          192                           113679                        27633                         3.0019497871398926
