Vertices                      Edges Prob.                   Max Weight                    Search Time
17                            0.5                           177                           0.00011587142944335938
17                            0.75                          211                           0.0004382133483886719
18                            0.125                         140                           2.6702880859375e-05
18                            0.25                          140                           4.601478576660156e-05
18                            0.5                           171                           0.00012969970703125
18                            0.75                          224                           0.0005002021789550781
19                            0.125                         136                           2.9325485229492188e-05
19                            0.25                          136                           4.9591064453125e-05
19                            0.5                           198                           0.0002808570861816406
19                            0.75                          246                           0.000553131103515625
20                            0.125                         128                           3.0279159545898438e-05
20                            0.25                          128                           5.4836273193359375e-05
20                            0.5                           169                           0.0002243518829345703
20                            0.75                          187                           0.0003287792205810547
21                            0.125                         90                            1.9311904907226562e-05
21                            0.25                          90                            3.266334533691406e-05
21                            0.5                           114                           0.0001678466796875
21                            0.75                          172                           0.0003647804260253906
22                            0.125                         90                            1.9550323486328125e-05
22                            0.25                          90                            4.506111145019531e-05
22                            0.5                           110                           0.0001239776611328125
22                            0.75                          249                           0.0007169246673583984
23                            0.125                         97                            2.86102294921875e-05
23                            0.25                          117                           7.963180541992188e-05
23                            0.5                           137                           0.00021767616271972656
23                            0.75                          209                           0.0008149147033691406
24                            0.125                         90                            3.218650817871094e-05
24                            0.25                          128                           8.058547973632812e-05
24                            0.5                           128                           0.000148773193359375
24                            0.75                          233                           0.0008575916290283203
25                            0.125                         97                            3.3855438232421875e-05
25                            0.25                          97                            5.3882598876953125e-05
25                            0.5                           158                           0.0003495216369628906
25                            0.75                          230                           0.0011866092681884766
26                            0.125                         90                            3.337860107421875e-05
26                            0.25                          95                            8.940696716308594e-05
26                            0.5                           95                            0.00016832351684570312
26                            0.75                          233                           0.0012464523315429688
27                            0.125                         80                            3.4809112548828125e-05
27                            0.25                          107                           9.489059448242188e-05
27                            0.5                           144                           0.00028252601623535156
27                            0.75                          201                           0.0008132457733154297
28                            0.125                         74                            3.719329833984375e-05
28                            0.25                          92                            0.000102996826171875
28                            0.5                           153                           0.000431060791015625
28                            0.75                          250                           0.0011355876922607422
29                            0.125                         74                            3.743171691894531e-05
29                            0.25                          108                           0.00010132789611816406
29                            0.5                           145                           0.0002989768981933594
29                            0.75                          284                           0.0014255046844482422
30                            0.125                         80                            3.695487976074219e-05
30                            0.25                          92                            0.00010538101196289062
30                            0.5                           134                           0.00021409988403320312
30                            0.75                          242                           0.0012464523315429688
31                            0.125                         80                            3.933906555175781e-05
31                            0.25                          90                            0.00011539459228515625
31                            0.5                           121                           0.0003266334533691406
31                            0.75                          318                           0.002443075180053711
32                            0.125                         80                            4.1484832763671875e-05
32                            0.25                          90                            0.00012159347534179688
32                            0.5                           132                           0.0003521442413330078
32                            0.75                          234                           0.0017096996307373047
33                            0.125                         87                            4.38690185546875e-05
33                            0.25                          105                           0.00012612342834472656
33                            0.5                           119                           0.0003674030303955078
33                            0.75                          213                           0.0027599334716796875
