Vertices                      Edges_Prob.                   Max_Weight                    Ops._Count                    Tested_Solutions              Search_Time
128                           0.125                         115                           1028                          1                             0.0020017623901367188
128                           0.25                          141                           2044                          1                             0.0037240982055664062
128                           0.5                           222                           4106                          1                             0.027310848236083984
128                           0.75                          470                           6306                          1                             0.2274341583251953
129                           0.125                         97                            1038                          1                             0.0011610984802246094
129                           0.25                          197                           2094                          1                             0.010162830352783203
129                           0.5                           253                           4170                          1                             0.025303125381469727
129                           0.75                          404                           6324                          1                             0.14624691009521484
130                           0.125                         146                           1060                          1                             0.0023276805877685547
130                           0.25                          146                           2108                          1                             0.0034983158111572266
130                           0.5                           265                           4282                          1                             0.0624539852142334
130                           0.75                          495                           6528                          1                             0.2590949535369873
131                           0.125                         114                           1076                          1                             0.0019137859344482422
131                           0.25                          171                           2148                          1                             0.006662845611572266
131                           0.5                           267                           4313                          1                             0.03645586967468262
131                           0.75                          458                           6568                          1                             0.20758485794067383
132                           0.125                         142                           1092                          1                             0.002234220504760742
132                           0.25                          186                           2181                          1                             0.00689387321472168
132                           0.5                           230                           4353                          1                             0.020408153533935547
